file;manager;license;author;source;modified
lothar-matthaus.jpg;Lothar Matthäus;CC BY-SA 4.0;Steffen Prößdorf;https://commons.wikimedia.org/wiki/File:2019_Lothar_Matth%C3%A4us.jpg;cropped to the head and resized to 320px
louis-van-gaal.jpg;Louis van Gaal;CC BY-SA 2.0;Congres in Beeld from Eindhoven, The Netherlands;https://commons.wikimedia.org/wiki/File:Louis_van_Gaal_2014.jpg;cropped to the head and resized to 320px
luciano-spalletti.jpg;Luciano Spalletti;Attribution;Quirinale;https://commons.wikimedia.org/wiki/File:Luciano_Spalletti_2024.jpg;cropped to the head and resized to 320px
ludovic-magnin.jpg;Ludovic Magnin;CC BY-SA 2.0 de;Reto Stauffer, www.hopp-schwiiz.ch;https://commons.wikimedia.org/wiki/File:Magnin061115_(cropped).jpg;cropped to the head and resized to 320px
luis-enrique.jpg;Luis Enrique;CC BY 2.0;Lluís from Sabadell (Barcelona), España;https://commons.wikimedia.org/wiki/File:Luis_Enrique_2014.jpg;cropped to the head and resized to 320px
luis-fernandez.jpg;Luis Fernandez;CC BY-SA 3.0;Liondartois;https://commons.wikimedia.org/wiki/File:Luis_Fernandez.jpg;cropped to the head and resized to 320px
luis-suarez.jpg;Luis Suárez;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Luis_Su%C3%A1rez_NE_Revolution_Inter_Miami_7.9.25-053_(cropped).jpg;cropped to the head and resized to 320px
manuel-pellegrini.jpg;Manuel Pellegrini;CC BY-SA 4.0;-- Steindy ( talk ) 15:57, 29 August 2019 (UTC);https://commons.wikimedia.org/wiki/File:Hertha_BSC_vs._West_Ham_United_20190731_(117).jpg;cropped to the head and resized to 320px
marc-wilmots.jpg;Marc Wilmots;CC BY 4.0;Mohammad Ali Mohammadian;https://commons.wikimedia.org/wiki/File:Marc_Wilmots_20190913_(cropped).jpg;cropped to the head and resized to 320px
marcello-lippi.jpg;Marcello Lippi;CC BY-SA 2.0;International Journalism Festival;https://commons.wikimedia.org/wiki/File:Marcello_Lippi_by_Martina_De_Siervo_-_International_Journalism_Festival_2010.jpg;cropped to the head and resized to 320px
marcelo-bielsa.jpg;Marcelo Bielsa;CC BY-SA 3.0;Рыбакова Елена;https://commons.wikimedia.org/wiki/File:Marcelo_Bielsa.jpg;cropped to the head and resized to 320px
marco-donadel.jpg;Marco Donadel;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Marco_Donadel_CF_Montreal_NYCFC_6.28.25-012_(cropped).jpg;cropped to the head and resized to 320px
marco-silva.jpg;Marco Silva;CC0;Timmy96;https://commons.wikimedia.org/wiki/File:Marco_Silva_20042025_(2)_(cropped).jpg;cropped to the head and resized to 320px
marco-van-basten.jpg;Marco van Basten;CC BY 2.5;Paul Blank - Postproduktie.nl;https://commons.wikimedia.org/wiki/File:Marco_van_Basten_(ca_2006).jpg;cropped to the head and resized to 320px
mark-hughes.jpg;Mark Hughes;CC0;TabloidFootprints;https://commons.wikimedia.org/wiki/File:Mark_Hughes_NQF.png;cropped to the head and resized to 320px
mark-van-bommel.jpg;Mark van Bommel;CC BY 2.0;Original: TBWABusted Derivative work: Kochel86;https://commons.wikimedia.org/wiki/File:2010_Mark_van_Bommel.jpg_(cropped).jpg;cropped to the head and resized to 320px
martin-demichelis.jpg;Martín Demichelis;CC BY-SA 2.0;CFCUnofficial (Chelsea Debs);https://commons.wikimedia.org/wiki/File:Demichelis_Man_City_1.jpg;cropped to the head and resized to 320px
martin-o-neill.jpg;Martin O'Neill;CC BY 4.0;Jonesy702;https://commons.wikimedia.org/wiki/File:O%E2%80%99Neill,_Martin.jpg;cropped to the head and resized to 320px
